index,kendall,pearson,pearson2
a,0.25535353535353544,0,1
b,0.17292929292929296,0,1
c,0.1595959595959596,0,0
d,0.13858585858585862,0,1
e,0.22707070707070712,0,1
f,0.32848484848484855,0,1
g,0.4630303030303031,0,1
h,0.1701010101010101,0,1
i,0.23717171717171723,0,1
j,0.155959595959596,0,1
k,0.2525252525252526,0,1
l,0.045656565656565666,0,0
m,0.098989898989899,1,1
n,0.16525252525252526,0,1
o,0.3632323232323233,0,1
p,0.12606060606060607,0,1
q,0.4234343434343435,0,1
r,0.3903030303030304,0,1
s,0.077979797979798,0,0
t,-0.04444444444444445,0,0
u,0.1575757575757576,0,1
v,0.21292929292929294,0,1
w,0.22141414141414145,0,1
x,0.08161616161616163,0,0
y,0.15151515151515155,1,1
z,0.3482828282828283,0,1
samohin.vyu,0.11353535353535356,0,1
ivchenkov.yap,0.1373737373737374,0,0
chernyavskiy.dv,0.7947474747474749,0,1
morozov.ma,0.2783838383838384,0,1
usmanova.aa,0.017373737373737378,0,0
fathullin.if,0.08686868686868689,0,0
kuznetsova.oa,0.13373737373737377,0,1
kubrakov.ns,0.09696969696969698,0,0
severilov.pa,0.09010101010101011,0,0
sadiev.aa,0.12484848484848488,0,0
agafonov.ad,0.12686868686868688,0,0
vasyukova.mn,0.31878787878787884,0,1
lemihov.aa,0.32767676767676773,0,1
nazarenko.aa,0.09979797979797982,0,0
markin.vo,0.30909090909090914,0,1
titov.vn,0.06303030303030303,0,0
alekseev.ao,0.11111111111111113,0,0
ugnivenko.va,0.06626262626262627,0,0
aminov.tv,0.23272727272727275,0,1
varenik.nv,0.35232323232323237,0,1
akimenkova.ma,0.10343434343434345,0,0
grishanov.av,0.8715151515151516,0,1
lagutin.em,0.17414141414141415,0,1
burnyshev.pi,0.02787878787878788,0,0
kuruzov.ia,0.30060606060606065,0,1
andreev.pk,0.1373737373737374,0,0
kobzeva.an,0.1563636363636364,0,1
grigorev.ad,0.29494949494949496,0,1
kuimov.ms,0.0783838383838384,0,0
zhiboedova.aa,0.24363636363636365,0,1
yusupov.ir,0.21050505050505053,0,1
nartsev.dyu,0.2678787878787879,0,1
saparov.tn,0.11555555555555559,0,0
panchenko.sk,0.10989898989898993,0,0
maksimov.do,0.12161616161616164,0,1
ayvazov.da,0.2048484848484849,0,1
reshetnikov.ko,0.2367676767676768,0,1
sotnikov.ad,0.03151515151515152,0,0
kuschuk.do,0.12565656565656566,0,0
